"X","ResponseId","app_selected","Benefit","FDA_Approval","Invasive","Burden","Privacy","choice","question"
1,"R_5PtqB5XkN8kVb5G",1,"large benefit","FDA approved","CGM required","low burden","no privacy","yes","Q12"
2,"R_7MFE81uW7pKopKS",1,"large benefit","FDA approved","CGM required","low burden","no privacy","yes","Q12"
3,"R_5RJOH4EWjbehAhH",1,"large benefit","FDA approved","CGM required","low burden","no privacy","yes","Q12"
4,"R_7RVo6gunT52Zv7B",1,"large benefit","FDA approved","CGM required","low burden","no privacy","yes","Q12"
5,"R_7pbP9Q8KG4JbbZk",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
6,"R_6OvgQp1Cn11NbWN",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
7,"R_5WxlazDmyHXu82l",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
8,"R_5lxMgYsU0eYfeOl",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
9,"R_1RPrzhsoVoA8tyP",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
10,"R_6alzky3r3AiOdGw",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
11,"R_1qgdEuKExpGBTMv",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
12,"R_6IHtpYy4YR1cYpS",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
13,"R_3dKrAvy6gP5kvlf",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
14,"R_6VvF4tZAxLgaxlT",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
15,"R_7oXQsZzm76N1Oxr",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
16,"R_7hYef0zUpMGPTq5",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
17,"R_7ePSOgHGP1DCQTF",2,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","yes","Q12"
18,"R_7pbP9Q8KG4JbbZk",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
19,"R_6OvgQp1Cn11NbWN",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
20,"R_5WxlazDmyHXu82l",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
21,"R_5lxMgYsU0eYfeOl",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
22,"R_1RPrzhsoVoA8tyP",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
23,"R_6alzky3r3AiOdGw",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
24,"R_1qgdEuKExpGBTMv",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
25,"R_6IHtpYy4YR1cYpS",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
26,"R_3dKrAvy6gP5kvlf",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
27,"R_6VvF4tZAxLgaxlT",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
28,"R_7oXQsZzm76N1Oxr",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
29,"R_7hYef0zUpMGPTq5",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
30,"R_7ePSOgHGP1DCQTF",2,"large benefit","FDA approved","CGM required","low burden","no privacy","no","Q12"
31,"R_5PtqB5XkN8kVb5G",1,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","no","Q12"
32,"R_7MFE81uW7pKopKS",1,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","no","Q12"
33,"R_5RJOH4EWjbehAhH",1,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","no","Q12"
34,"R_7RVo6gunT52Zv7B",1,"small benefit","FDA not approved","CGM not required","high burden","yes privacy","no","Q12"
1,"R_61XtKmaCrdKbm4H",1,"large benefit","FDA not approved","CGM required","high burden","no privacy","yes","Q13"
2,"R_8duaER8VI6Zxum0",1,"large benefit","FDA not approved","CGM required","high burden","no privacy","yes","Q13"
3,"R_7RVo6gunT52Zv7B",1,"large benefit","FDA not approved","CGM required","high burden","no privacy","yes","Q13"
4,"R_57Kkm5961TEEEud",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
5,"R_1MaGxEqIUA03UUW",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
6,"R_6alzky3r3AiOdGw",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
7,"R_3xEleGYUb768B3M",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
8,"R_6KkThgjhcqeCccY",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
9,"R_6VvF4tZAxLgaxlT",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
10,"R_5lxMgYsU0eYfeOl",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
11,"R_3U7I8G9b40NcBwd",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
12,"R_1RPrzhsoVoA8tyP",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
13,"R_7MFE81uW7pKopKS",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
14,"R_3rOEd6r1440D4WK",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
15,"R_7PtIcP1pK9QqNIc",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
16,"R_3dKrAvy6gP5kvlf",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
17,"R_5wnVy3Dhc2O9Lgc",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
18,"R_5RJOH4EWjbehAhH",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
19,"R_3CgcNVHzKFwRLbX",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
20,"R_7hYef0zUpMGPTq5",2,"small benefit","FDA approved","CGM not required","low burden","yes privacy","yes","Q13"
21,"R_57Kkm5961TEEEud",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
22,"R_1MaGxEqIUA03UUW",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
23,"R_6alzky3r3AiOdGw",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
24,"R_3xEleGYUb768B3M",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
25,"R_6KkThgjhcqeCccY",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
26,"R_6VvF4tZAxLgaxlT",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
27,"R_5lxMgYsU0eYfeOl",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
28,"R_3U7I8G9b40NcBwd",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
29,"R_1RPrzhsoVoA8tyP",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
30,"R_7MFE81uW7pKopKS",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
31,"R_3rOEd6r1440D4WK",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
32,"R_7PtIcP1pK9QqNIc",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
33,"R_3dKrAvy6gP5kvlf",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
34,"R_5wnVy3Dhc2O9Lgc",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
35,"R_5RJOH4EWjbehAhH",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
36,"R_3CgcNVHzKFwRLbX",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
37,"R_7hYef0zUpMGPTq5",2,"large benefit","FDA not approved","CGM required","high burden","no privacy","no","Q13"
38,"R_61XtKmaCrdKbm4H",1,"small benefit","FDA approved","CGM not required","low burden","yes privacy","no","Q13"
39,"R_8duaER8VI6Zxum0",1,"small benefit","FDA approved","CGM not required","low burden","yes privacy","no","Q13"
40,"R_7RVo6gunT52Zv7B",1,"small benefit","FDA approved","CGM not required","low burden","yes privacy","no","Q13"
1,"R_8duaER8VI6Zxum0",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
2,"R_1MaGxEqIUA03UUW",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
3,"R_13fBuKPx13nVOmM",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
4,"R_7hYef0zUpMGPTq5",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
